rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,freeCodeCamp,363922,31551,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,139,2023-04-02T21:45:26Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,free-programming-books,272934,54462,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,26,2023-04-02T13:35:54Z,:books: Freely available programming books
3,top-100-stars,996.ICU,265448,21436,,https://github.com/996icu/996.ICU,996icu,0,2022-12-26T03:57:50Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
4,top-100-stars,coding-interview-university,253053,66853,,https://github.com/jwasham/coding-interview-university,jwasham,44,2023-04-02T08:19:26Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,awesome,247058,25339,,https://github.com/sindresorhus/awesome,sindresorhus,24,2023-04-02T21:26:11Z,😎 Awesome lists about all kinds of interesting topics
6,top-100-stars,developer-roadmap,235403,33505,Astro,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,204,2023-04-02T21:44:06Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
7,top-100-stars,public-apis,232954,26517,Python,https://github.com/public-apis/public-apis,public-apis,38,2023-04-01T05:53:00Z,A collective list of free APIs
8,top-100-stars,system-design-primer,215883,38448,Python,https://github.com/donnemartin/system-design-primer,donnemartin,175,2023-04-01T14:19:59Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,react,205070,42678,JavaScript,https://github.com/facebook/react,facebook,958,2023-04-02T16:14:27Z,The library for web and native user interfaces
10,top-100-stars,vue,203014,33538,TypeScript,https://github.com/vuejs/vue,vuejs,368,2023-03-30T13:37:09Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
11,top-100-stars,build-your-own-x,195918,19089,,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,167,2023-04-02T18:26:59Z,Master programming by recreating your favorite technologies from scratch.
12,top-100-stars,tensorflow,172783,88034,C++,https://github.com/tensorflow/tensorflow,tensorflow,2012,2023-04-02T22:12:36Z,An Open Source Machine Learning Framework for Everyone
13,top-100-stars,You-Dont-Know-JS,166352,32352,,https://github.com/getify/You-Dont-Know-JS,getify,83,2023-03-23T22:08:13Z,A book series on JavaScript. @YDKJS on twitter.
14,top-100-stars,javascript-algorithms,166091,27376,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,107,2023-04-02T14:56:42Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
15,top-100-stars,CS-Notes,163032,50039,,https://github.com/CyC2018/CS-Notes,CyC2018,120,2023-03-22T06:58:49Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
16,top-100-stars,bootstrap,162669,78117,JavaScript,https://github.com/twbs/bootstrap,twbs,273,2023-04-02T06:28:42Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
17,top-100-stars,awesome-python,161688,22777,Python,https://github.com/vinta/awesome-python,vinta,15,2023-04-02T20:56:16Z,"A curated list of awesome Python frameworks, libraries, software and resources"
18,top-100-stars,ohmyzsh,157163,25123,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,209,2023-04-02T19:44:03Z,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
19,top-100-stars,Python,156227,39511,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,16,2023-04-02T18:15:58Z,All Algorithms implemented in Python
20,top-100-stars,flutter,151678,25018,Dart,https://github.com/flutter/flutter,flutter,11324,2023-04-02T22:08:12Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
21,top-100-stars,linux,148985,47363,C,https://github.com/torvalds/linux,torvalds,0,2023-04-02T21:34:58Z,Linux kernel source tree
22,top-100-stars,gitignore,146379,83496,,https://github.com/github/gitignore,github,0,2023-04-02T06:48:10Z,A collection of useful .gitignore templates
23,top-100-stars,vscode,144423,25212,TypeScript,https://github.com/microsoft/vscode,microsoft,6433,2023-04-02T20:04:41Z,Visual Studio Code
24,top-100-stars,computer-science,137145,17781,,https://github.com/ossu/computer-science,ossu,19,2023-03-25T06:23:52Z,:mortar_board: Path to a free self-taught education in Computer Science!
25,top-100-stars,the-art-of-command-line,134356,13395,,https://github.com/jlevy/the-art-of-command-line,jlevy,103,2023-04-02T20:38:20Z,"Master the command line, in one page"
26,top-100-stars,javascript,132847,25192,JavaScript,https://github.com/airbnb/javascript,airbnb,96,2023-04-02T06:16:47Z,JavaScript Style Guide
27,top-100-stars,JavaGuide,132485,43712,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,67,2023-04-01T09:26:03Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
28,top-100-stars,Python-100-Days,132327,48460,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,495,2023-03-13T06:33:25Z,Python - 100天从新手到大师
29,top-100-stars,awesome-selfhosted,126157,7339,Makefile,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,50,2023-04-02T12:04:30Z,A list of Free Software network services and web applications which can be hosted on your own servers
30,top-100-stars,youtube-dl,119175,8826,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3826,2023-04-02T12:20:07Z,Command-line program to download videos from YouTube.com and other video sites
31,top-100-stars,fucking-algorithm,115141,22185,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,316,2023-04-02T10:19:38Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
32,top-100-stars,go,109837,16116,Go,https://github.com/golang/go,golang,7963,2023-04-02T17:58:14Z,The Go programming language
33,top-100-stars,30-seconds-of-code,109517,11296,JavaScript,https://github.com/30-seconds/30-seconds-of-code,30-seconds,0,2023-04-02T19:34:11Z,Short JavaScript code snippets for all your development needs
34,top-100-stars,react-native,108701,23111,Java,https://github.com/facebook/react-native,facebook,1859,2023-04-02T10:36:06Z,A framework for building native applications using React
35,top-100-stars,electron,106618,14493,C++,https://github.com/electron/electron,electron,846,2023-04-02T20:36:02Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
36,top-100-stars,d3,104891,23303,JavaScript,https://github.com/d3/d3,d3,6,2023-04-01T02:43:09Z,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
37,top-100-stars,next.js,103551,23196,JavaScript,https://github.com/vercel/next.js,vercel,1344,2023-04-02T21:35:05Z,The React Framework
38,top-100-stars,free-programming-books-zh_CN,100905,27314,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2023-03-27T05:06:16Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
39,top-100-stars,axios,99501,10254,JavaScript,https://github.com/axios/axios,axios,354,2023-03-30T09:12:57Z,Promise based HTTP client for the browser and node.js
40,top-100-stars,create-react-app,99324,26205,JavaScript,https://github.com/facebook/create-react-app,facebook,1556,2023-03-28T09:00:07Z,Set up a modern web app by running one command.
41,top-100-stars,awesome-go,99146,10839,Go,https://github.com/avelino/awesome-go,avelino,6,2023-04-02T20:17:20Z,"A curated list of awesome Go frameworks, libraries and software"
42,top-100-stars,kubernetes,97083,35669,Go,https://github.com/kubernetes/kubernetes,kubernetes,1647,2023-04-02T20:51:52Z,Production-Grade Container Scheduling and Management
43,top-100-stars,project-based-learning,96162,13504,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,17,2023-04-01T08:31:13Z,Curated list of project-based tutorials
44,top-100-stars,node,94317,25602,JavaScript,https://github.com/nodejs/node,nodejs,1288,2023-04-02T21:28:47Z,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
45,top-100-stars,the-book-of-secret-knowledge,94037,7122,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2023-03-23T13:07:08Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
46,top-100-stars,three.js,90383,34332,JavaScript,https://github.com/mrdoob/three.js,mrdoob,360,2023-04-02T20:32:10Z,JavaScript 3D Library.
47,top-100-stars,TypeScript,90019,11627,TypeScript,https://github.com/microsoft/TypeScript,microsoft,5859,2023-04-02T18:27:36Z,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
